FID,Project,StationName,TripCode,TripDate_UTC,SampleTime_Local,Latitude,Longitude,SecchiDepth_m,SampleDepth_m,SampleID,Salinity,Salinity_flag,DIC_umolkg,DIC_flag,Alkalinity_umolkg,Alkalinity_flag,Oxygen_umolL,Oxygen_flag,Ammonium_umolL,Ammonium_flag,Nitrate_umolL,Nitrate_flag,Nitrite_umolL,Nitrite_flag,Phosphate_umolL,Phosphate_flag,Silicate_umolL,Silicate_flag,TSSorganic_mgL,TSSinorganic_mgL,TSS_mgL,TSSall_flag,Prochlorococcus_cellsmL,Prochlorococcus_flag,Synechococcus_cellsmL,Synechococcus_flag,Picoeukaryotes_cellsmL,Picoeukaryotes_flag,Allo_mgm3,AlphaBetaCar_mgm3,Anth_mgm3,Asta_mgm3,BetaBetaCar_mgm3,BetaEpiCar_mgm3,Butfuco_mgm3,Cantha_mgm3,CphlA_mgm3,CphlB_mgm3,CphlC1_mgm3,CphlC2_mgm3,CphlC3_mgm3,CphlC1C2_mgm3,CphlideA_mgm3,Diadchr_mgm3,Diadino_mgm3,Diato_mgm3,Dino_mgm3,DvCphlA+CphlA_mgm3,DvCphlA_mgm3,DvCphlB+CphlB_mgm3,DvCphlB_mgm3,Echin_mgm3,Fuco_mgm3,Gyro_mgm3,Hexfuco_mgm3,Ketohexfuco_mgm3,Lut_mgm3,Lyco_mgm3,MgDvp_mgm3,Neo_mgm3,Perid_mgm3,PhideA_mgm3,PhytinA_mgm3,PhytinB_mgm3,Pras_mgm3,PyrophideA_mgm3,PyrophytinA_mgm3,Viola_mgm3,Zea_mgm3,Pigments_flag,AustralianMicrobiomeId,geom
combined_bgc_data.fid-2c692dc9_1899559b653_721d,NRS,Maria Island,MAI20090421,2009-04-21,2009-04-21 12:00:00,-42.5967,148.2333,15.2,0,MAI20090421_0,35.365,1,2075.52,1,2327.27,1,,9,0.12,1,1.9,1,,9,0.21,1,0.6,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (148.23333 -42.59667)
combined_bgc_data.fid-2c692dc9_1899559b653_721e,NRS,Maria Island,MAI20090421,2009-04-21,2009-04-21 12:00:00,-42.5967,148.2333,15.2,10,MAI20090421_10,35.359,1,2074.78,1,2331.13,1,,9,0.12,1,1.8,1,,9,0.2,1,0.6,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (148.23333 -42.59667)
combined_bgc_data.fid-2c692dc9_1899559b653_721f,NRS,Maria Island,MAI20090421,2009-04-21,2009-04-21 12:00:00,-42.5967,148.2333,15.2,20,MAI20090421_20,35.361,1,,9,,9,,9,0.1,1,1.9,1,,9,0.2,1,0.6,1,,,,,,,,,,,0.05,0.019,0,0.004,,,0.028,0,0.685,0.267,0,0.095,0.059,,0.058,0,0.016,0.004,0,0.691,0.006,0.267,0,0,0.044,0,0.097,0,0.003,0,0,0.032,0.01,0,0,0,0.057,0,0,0.025,0.028,0,,POINT (148.23333 -42.59667)
combined_bgc_data.fid-2c692dc9_1899559b653_7220,NRS,Maria Island,MAI20090421,2009-04-21,2009-04-21 12:00:00,-42.5967,148.2333,15.2,30,MAI20090421_30,35.367,1,2079.13,1,2327.28,1,,9,0.16,1,1.9,1,,9,0.21,1,0.6,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (148.23333 -42.59667)
combined_bgc_data.fid-2c692dc9_1899559b653_7221,NRS,Maria Island,MAI20090421,2009-04-21,2009-04-21 12:00:00,-42.5967,148.2333,15.2,40,MAI20090421_40,35.359,1,,9,,9,,9,0.15,1,1.9,1,,9,0.21,1,0.6,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (148.23333 -42.59667)
combined_bgc_data.fid-2c692dc9_1899559b653_7222,NRS,Maria Island,MAI20090421,2009-04-21,2009-04-21 12:00:00,-42.5967,148.2333,15.2,50,MAI20090421_50,35.361,1,2075.69,1,2326.6,1,,9,0.14,1,1.9,1,,9,0.22,1,0.6,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (148.23333 -42.59667)
combined_bgc_data.fid-2c692dc9_1899559b653_7223,NRS,Maria Island,MAI20090421,2009-04-21,2009-04-21 12:00:00,-42.5967,148.2333,15.2,60,MAI20090421_60,35.375,1,,9,,9,,9,0.22,1,2,1,,9,0.22,1,0.6,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (148.23333 -42.59667)
combined_bgc_data.fid-2c692dc9_1899559b653_7224,NRS,Maria Island,MAI20090421,2009-04-21,2009-04-21 12:00:00,-42.5967,148.2333,15.2,75,MAI20090421_75,35.383,1,2077.94,1,2326.66,1,,9,0.22,1,2,1,,9,0.22,1,0.6,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (148.23333 -42.59667)
combined_bgc_data.fid-2c692dc9_1899559b653_7225,NRS,Maria Island,MAI20090421,2009-04-21,2009-04-21 12:00:00,-42.5967,148.2333,15.2,80,MAI20090421_80,35.371,1,2077.62,1,2336.57,1,,9,0.2,1,2,1,,9,0.24,1,0.5,1,,,,,,,,,,,0.02,0.012,0,0,,,0.015,0,0.356,0.131,0,0.044,0.033,,0,0,0.007,0,0,0.36,0.004,0.131,0,0,0.02,0,0.047,0,0,0,0,0.011,0,0,0,0,0.027,0,0,0.008,0.013,0,,POINT (148.23333 -42.59667)
combined_bgc_data.fid-2c692dc9_1899559b653_7226,NRS,Maria Island,MAI20090421,2009-04-21,2009-04-21 18:00:00,-42.5967,148.2333,15.2,WC,MAI20090421_WC,,,,,,,,,,,,,,,,,,,0.5,1.6,2.1,1,9844,1,32482,1,6625.5,1,0.039,0.027,0,0,,,0.022,0,0.7,0.253,0,0.083,0.049,,0,0,0.015,0,0,0.705,0.005,0.253,0,0,0.037,0,0.078,0,0.003,0,0,0.024,0.007,0,0,0,0.048,0,0,0.016,0.026,0,,POINT (148.23333 -42.59667)
combined_bgc_data.fid-2c692dc9_1899559b653_7227,NRS,Maria Island,MAI20090506,2009-05-06,2009-05-06 03:00:00,-42.5967,148.2333,9,0,MAI20090506_0,35.519,1,2071.52,1,2332.09,1,,9,0.06,1,1.8,1,,9,0.17,1,0.4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (148.23333 -42.59667)
combined_bgc_data.fid-2c692dc9_1899559b653_7228,NRS,Maria Island,MAI20090506,2009-05-06,2009-05-06 03:00:00,-42.5967,148.2333,9,10,MAI20090506_10,35.517,1,2068.93,1,2329.84,1,,9,0.03,1,1.8,1,,9,0.16,1,0.5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (148.23333 -42.59667)
combined_bgc_data.fid-2c692dc9_1899559b653_7229,NRS,Maria Island,MAI20090506,2009-05-06,2009-05-06 11:40:00,-42.5967,148.2333,9,20,MAI20090506_20,35.519,1,,9,,9,249.2,1,0.05,1,1.8,1,,9,0.18,1,0.4,1,,,,,,,,,,,0.026,0.025,0,0,,,0.038,0,0.547,0.143,0.009,0.068,0.053,,0,0,0.022,0,0,0.56,0.013,0.143,0,0,0.031,0,0.096,0,0,0,0,0.016,0.014,0,0,0,0.033,0,0,0.014,0.027,1,,POINT (148.23333 -42.59667)
combined_bgc_data.fid-2c692dc9_1899559b653_722a,NRS,Maria Island,MAI20090506,2009-05-06,2009-05-06 03:00:00,-42.5967,148.2333,9,30,MAI20090506_30,35.519,1,2071.73,1,2331.79,1,,9,0,1,1.9,1,,9,0.18,1,0.5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (148.23333 -42.59667)
combined_bgc_data.fid-2c692dc9_1899559b653_722b,NRS,Maria Island,MAI20090506,2009-05-06,2009-05-06 11:40:00,-42.5967,148.2333,9,40,MAI20090506_40,35.365,1,,9,,9,,9,0,1,2.9,1,,9,0.24,1,0.7,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (148.23333 -42.59667)
combined_bgc_data.fid-2c692dc9_1899559b653_722c,NRS,Maria Island,MAI20090506,2009-05-06,2009-05-06 03:00:00,-42.5967,148.2333,9,50,MAI20090506_50,35.308,1,2080.44,1,2321.88,1,,9,0,1,3.1,1,,9,0.27,1,0.7,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (148.23333 -42.59667)
combined_bgc_data.fid-2c692dc9_1899559b653_722d,NRS,Maria Island,MAI20090506,2009-05-06,2009-05-06 11:40:00,-42.5967,148.2333,9,60,MAI20090506_60,35.293,1,,9,,9,,9,0.01,1,3.1,1,,9,0.27,1,0.8,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (148.23333 -42.59667)
combined_bgc_data.fid-2c692dc9_1899559b653_722e,NRS,Maria Island,MAI20090506,2009-05-06,2009-05-06 03:00:00,-42.5967,148.2333,9,75,MAI20090506_75,35.291,1,2082.72,1,2321.8,1,,9,0.21,1,3,1,,9,0.3,1,0.9,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (148.23333 -42.59667)
combined_bgc_data.fid-2c692dc9_1899559b653_722f,NRS,Maria Island,MAI20090506,2009-05-06,2009-05-06 03:00:00,-42.5967,148.2333,9,80,MAI20090506_80,35.293,1,2084.31,1,2321.56,1,260.4,1,0.24,1,3,1,,9,0.3,1,0.9,1,,,,,,,,,,,0.008,0.009,0,0,,,0.012,0,0.177,0.062,0.012,0.014,0.013,,0,0,0.003,0,0,0.177,0,0.062,0,0,0.017,0,0.022,0,0,0,0,0.008,0,0,0,0,0.018,0,0,0.003,0.007,1,,POINT (148.23333 -42.59667)
combined_bgc_data.fid-2c692dc9_1899559b653_7230,NRS,Maria Island,MAI20090506,2009-05-06,2009-05-06 13:30:00,-42.5967,148.2333,9,WC,MAI20090506_WC,,,,,,,,,,,,,,,,,,,0.5,0.2,0.7,1,13204,1,14044,1,3470.5,1,0.016,0.018,0,0,,,0.026,0,0.388,0.111,0.003,0.048,0.038,,0,0,0.013,0,0,0.397,0.009,0.111,0,0,0.022,0,0.059,0,0,0,0,0.011,0.009,0,0,0,0.027,0,0,0.008,0.02,1,,POINT (148.23333 -42.59667)
combined_bgc_data.fid-2c692dc9_1899559b653_7231,NRS,Maria Island,MAI20090601,2009-06-01,2009-06-01 11:35:00,-42.5967,148.2333,17,0,MAI20090601_0,35.267,1,2091.3,1,2318.18,1,,9,0.21,1,3.8,1,,9,0.34,1,1.1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (148.23333 -42.59667)
combined_bgc_data.fid-2c692dc9_1899559b653_7232,NRS,Maria Island,MAI20090601,2009-06-01,2009-06-01 11:35:00,-42.5967,148.2333,17,10,MAI20090601_10,35.23,1,2091.42,1,2317.24,1,,9,0.2,1,3.8,1,,9,0.34,1,1.1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (148.23333 -42.59667)
combined_bgc_data.fid-2c692dc9_1899559b653_7233,NRS,Maria Island,MAI20090601,2009-06-01,2009-06-01 11:35:00,-42.5967,148.2333,17,20,MAI20090601_20,35.222,1,,9,,9,,9,0.06,1,3.8,1,,9,0.34,1,1.1,1,,,,,,,,,,,0.027,0.023,0,0,,,0.026,0,0.527,0.163,0.021,0.044,0.027,,0,0,0.013,0,0,0.527,0,0.163,0,0,0.045,0,0.06,0,0,0,0,0.019,0.021,0,0,0,0.042,0,0,0.014,0.014,2,,POINT (148.23333 -42.59667)
combined_bgc_data.fid-2c692dc9_1899559b653_7234,NRS,Maria Island,MAI20090601,2009-06-01,2009-06-01 11:35:00,-42.5967,148.2333,17,30,MAI20090601_30,35.242,1,2089.76,1,2319.15,1,,9,0.08,1,3.7,1,,9,0.34,1,1.1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (148.23333 -42.59667)
combined_bgc_data.fid-2c692dc9_1899559b653_7235,NRS,Maria Island,MAI20090601,2009-06-01,2009-06-01 11:35:00,-42.5967,148.2333,17,40,MAI20090601_40,35.238,1,,9,,9,,9,0.08,1,3.7,1,,9,0.35,1,1.2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (148.23333 -42.59667)
combined_bgc_data.fid-2c692dc9_1899559b653_7236,NRS,Maria Island,MAI20090601,2009-06-01,2009-06-01 11:35:00,-42.5967,148.2333,17,50,MAI20090601_50,35.248,1,2089.83,1,2320.31,1,,9,0.11,1,3.7,1,,9,0.34,1,1.2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (148.23333 -42.59667)
combined_bgc_data.fid-2c692dc9_1899559b653_7237,NRS,Maria Island,MAI20090601,2009-06-01,2009-06-01 11:35:00,-42.5967,148.2333,17,60,MAI20090601_60,35.276,1,,9,,9,,9,0.14,1,3.6,1,,9,0.34,1,1.2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (148.23333 -42.59667)
combined_bgc_data.fid-2c692dc9_1899559b653_7238,NRS,Maria Island,MAI20090601,2009-06-01,2009-06-01 11:35:00,-42.5967,148.2333,17,75,MAI20090601_75,35.295,1,2090.43,1,2321.13,1,,9,0.16,1,3.5,1,,9,0.34,1,1.2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (148.23333 -42.59667)
combined_bgc_data.fid-2c692dc9_1899559b653_7239,NRS,Maria Island,MAI20090601,2009-06-01,2009-06-01 11:35:00,-42.5967,148.2333,17,80,MAI20090601_80,35.307,1,2092.91,1,2323.01,1,,9,0.18,1,3.5,1,,9,0.34,1,1.2,1,,,,,,,,,,,0.026,0.021,0,0,,,0.034,0,0.508,0.159,0.022,0.044,0.031,,0,0,0.015,0,0,0.508,0,0.159,0,0,0.051,0,0.072,0,0,0,0,0.019,0.022,0,0,0,0.042,0,0,0.01,0.01,2,,POINT (148.23333 -42.59667)
combined_bgc_data.fid-2c692dc9_1899559b653_723a,NRS,Maria Island,MAI20090601,2009-06-01,2009-06-01 11:20:00,-42.5967,148.2333,17,WC,MAI20090601_WC,,,,,,,,,,,,,,,,,,,1.1,0.3,1.4,2,4683.5,1,11130.5,1,4489,1,0.023,0.014,0,0,,,0.023,0,0.39,0.121,0.02,0.037,0.015,,0,0,0.012,0,0,0.39,0,0.121,0,0,0.04,0,0.051,0,0,0,0,0.017,0.018,0,0,0,0.035,0,0,0.01,0.007,2,,POINT (148.23333 -42.59667)
combined_bgc_data.fid-2c692dc9_1899559b653_723b,NRS,Maria Island,MAI20090716,2009-07-16,2009-07-16 11:45:00,-42.5967,148.2333,20,0,MAI20090716_0,35.218,1,2091.49,1,2319.75,1,,9,0.21,1,3,1,,9,0.32,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (148.23333 -42.59667)
combined_bgc_data.fid-2c692dc9_1899559b653_723c,NRS,Maria Island,MAI20090716,2009-07-16,2009-07-16 11:45:00,-42.5967,148.2333,20,10,MAI20090716_10,35.217,1,2092.84,1,2322.57,1,,9,0.11,1,3,1,,9,0.33,1,0.9,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (148.23333 -42.59667)
combined_bgc_data.fid-2c692dc9_1899559b653_723d,NRS,Maria Island,MAI20090716,2009-07-16,2009-07-16 11:45:00,-42.5967,148.2333,20,20,MAI20090716_20,35.218,1,,9,,9,,9,0.1,1,3,1,,9,0.27,1,0.9,1,,,,,,,,,,,0.01,0.011,0,0,,,0.02,0,0.242,0.07,0.01,0.023,0.018,,0,0,0.011,0,0,0.246,0.004,0.07,0,0,0.036,0,0.038,0,0,0,0,0.007,0,0,0,0,0.018,0,0,0.007,0.009,2,,POINT (148.23333 -42.59667)
combined_bgc_data.fid-2c692dc9_1899559b653_723e,NRS,Maria Island,MAI20090716,2009-07-16,2009-07-16 11:45:00,-42.5967,148.2333,20,30,MAI20090716_30,35.221,1,2094.33,1,2319.44,1,,9,0.05,1,3,1,,9,0.32,1,0.9,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (148.23333 -42.59667)
combined_bgc_data.fid-2c692dc9_1899559b653_723f,NRS,Maria Island,MAI20090716,2009-07-16,2009-07-16 11:45:00,-42.5967,148.2333,20,40,MAI20090716_40,35.22,1,,9,,9,,9,0.08,1,3,1,,9,0.28,1,0.9,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (148.23333 -42.59667)
combined_bgc_data.fid-2c692dc9_1899559b653_7240,NRS,Maria Island,MAI20090716,2009-07-16,2009-07-16 11:45:00,-42.5967,148.2333,20,50,MAI20090716_50,35.22,1,2095.59,1,2318.48,1,,9,0.1,1,2.9,1,,9,0.33,1,0.9,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (148.23333 -42.59667)
combined_bgc_data.fid-2c692dc9_1899559b653_7241,NRS,Maria Island,MAI20090716,2009-07-16,2009-07-16 11:45:00,-42.5967,148.2333,20,60,MAI20090716_60,35.215,1,,9,,9,,9,0.06,1,3,1,,9,0.31,1,0.9,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (148.23333 -42.59667)
combined_bgc_data.fid-2c692dc9_1899559b653_7242,NRS,Maria Island,MAI20090716,2009-07-16,2009-07-16 11:45:00,-42.5967,148.2333,20,75,MAI20090716_75,35.212,1,2094.8,1,2320.23,1,,9,0.09,1,3.1,1,,9,0.3,1,0.9,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (148.23333 -42.59667)
combined_bgc_data.fid-2c692dc9_1899559b653_7243,NRS,Maria Island,MAI20090716,2009-07-16,2009-07-16 11:45:00,-42.5967,148.2333,20,80,MAI20090716_80,35.19,1,2093.35,1,2319.55,1,,9,0.09,1,3.2,1,,9,0.32,1,0.9,1,,,,,,,,,,,0.006,0.01,0,0,,,0.016,0,0.197,0.05,0.008,0.014,0.012,,0,0,0.005,0,0,0.201,0.004,0.05,0,0,0.034,0,0.025,0,0,0,0,0.006,0,0,0,0,0.017,0,0,0.004,0.007,2,,POINT (148.23333 -42.59667)
combined_bgc_data.fid-2c692dc9_1899559b653_7244,NRS,Maria Island,MAI20090716,2009-07-16,2009-07-16 11:36:00,-42.5967,148.2333,20,WC,MAI20090716_WC,,,,,,,,,,,,,,,,,,,0.4,0.9,1.3,1,5864.5,1,9109,1,3113.5,1,0.01,0.011,0,0,,,0.02,0,0.264,0.057,0.01,0.018,0,,0,0,0.009,0,0,0.269,0.005,0.057,0,0,0.037,0,0.038,0,0,0,0,0.008,0,0,0,0,0.022,0,0,0.006,0.011,2,,POINT (148.23333 -42.59667)
combined_bgc_data.fid-2c692dc9_1899559b653_7245,NRS,Maria Island,MAI20090820,2009-08-20,2009-08-20 11:45:00,-42.5967,148.2333,19,0,MAI20090820_0,35.227,1,2089.9,1,2321.81,1,,9,0.16,1,3.1,1,,9,0.35,1,1.1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (148.23333 -42.59667)
combined_bgc_data.fid-2c692dc9_1899559b653_7246,NRS,Maria Island,MAI20090820,2009-08-20,2009-08-20 11:45:00,-42.5967,148.2333,19,10,MAI20090820_10,35.236,1,2092.62,1,2321.11,1,,9,0.16,1,3.2,1,,9,0.36,1,1.1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (148.23333 -42.59667)
combined_bgc_data.fid-2c692dc9_1899559b653_7247,NRS,Maria Island,MAI20090820,2009-08-20,2009-08-20 11:45:00,-42.5967,148.2333,19,20,MAI20090820_20,35.243,1,,9,,9,283.9,1,0.05,1,3.3,1,,9,0.36,1,1.1,1,,,,,,,,,,,0.005,0.01,0,0,,,0.018,0,0.359,0.055,0.008,0.039,0.032,,0,0,0.009,0,0,0.359,0,0.055,0,0,0.079,0,0.035,0,0,0,0,0.009,0.005,0,0,0,0.017,0,0,0.006,0.01,1,,POINT (148.23333 -42.59667)
combined_bgc_data.fid-2c692dc9_1899559b653_7248,NRS,Maria Island,MAI20090820,2009-08-20,2009-08-20 11:45:00,-42.5967,148.2333,19,30,MAI20090820_30,35.25,1,2093.94,1,2323.44,1,,9,0.05,1,3.5,1,,9,0.37,1,1.1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (148.23333 -42.59667)
combined_bgc_data.fid-2c692dc9_1899559b653_7249,NRS,Maria Island,MAI20090820,2009-08-20,2009-08-20 11:45:00,-42.5967,148.2333,19,40,MAI20090820_40,35.251,1,,9,,9,,9,0.05,1,3.6,1,,9,0.38,1,1.1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (148.23333 -42.59667)
combined_bgc_data.fid-2c692dc9_1899559b653_724a,NRS,Maria Island,MAI20090820,2009-08-20,2009-08-20 11:45:00,-42.5967,148.2333,19,50,MAI20090820_50,35.253,1,2094.49,1,2323.34,1,,9,0.05,1,3.8,1,,9,0.4,1,1.1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (148.23333 -42.59667)
combined_bgc_data.fid-2c692dc9_1899559b653_724b,NRS,Maria Island,MAI20090820,2009-08-20,2009-08-20 11:45:00,-42.5967,148.2333,19,60,MAI20090820_60,35.256,1,,9,,9,,9,0.05,1,3.6,1,,9,0.38,1,1.1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (148.23333 -42.59667)
combined_bgc_data.fid-2c692dc9_1899559b653_724c,NRS,Maria Island,MAI20090820,2009-08-20,2009-08-20 11:45:00,-42.5967,148.2333,19,75,MAI20090820_75,35.259,1,2095.57,1,2322.19,1,,9,0.05,1,3.6,1,,9,0.38,1,1.1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (148.23333 -42.59667)
combined_bgc_data.fid-2c692dc9_1899559b653_724d,NRS,Maria Island,MAI20090820,2009-08-20,2009-08-20 11:45:00,-42.5967,148.2333,19,80,MAI20090820_80,35.258,1,2095.36,1,2323.33,1,290,1,0.04,1,3.5,1,,9,0.38,1,1.1,1,,,,,,,,,,,0.004,0.008,0,0,,,0.016,0,0.176,0.04,0.003,0.019,0.019,,0,0,0.006,0,0,0.176,0,0.04,0,0,0.036,0,0.023,0,0,0,0,0.005,0,0,0,0,0.011,0,0,0.002,0.008,1,,POINT (148.23333 -42.59667)
combined_bgc_data.fid-2c692dc9_1899559b653_724e,NRS,Maria Island,MAI20090820,2009-08-20,2009-08-20 13:00:00,-42.5967,148.2333,19,WC,MAI20090820_WC,,,,,,,,,,,,,,,,,,,1.1,0.3,1.4,1,7313.5,1,8353,1,5365.5,1,0.007,0.011,0,0,,,0.018,0,0.365,0.058,0.008,0.039,0.017,,0,0,0.011,0,0,0.365,0,0.058,0,0,0.073,0,0.034,0,0,0,0,0.008,0.005,0,0,0,0.017,0,0,0.005,0.01,1,,POINT (148.23333 -42.59667)
combined_bgc_data.fid-2c692dc9_1899559b653_724f,NRS,Maria Island,MAI20090907,2009-09-07,2009-09-07 11:40:00,-42.5967,148.2333,17,0,MAI20090907_0,35.192,1,2096.27,1,2319.36,1,,9,0.12,1,3.2,1,,9,0.31,1,1.1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (148.23333 -42.59667)
combined_bgc_data.fid-2c692dc9_1899559b653_7250,NRS,Maria Island,MAI20090907,2009-09-07,2009-09-07 11:40:00,-42.5967,148.2333,17,10,MAI20090907_10,35.196,1,2099.01,1,2319.12,1,,9,0.01,1,3.2,1,,9,0.29,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (148.23333 -42.59667)
combined_bgc_data.fid-2c692dc9_1899559b653_7251,NRS,Maria Island,MAI20090907,2009-09-07,2009-09-07 11:40:00,-42.5967,148.2333,17,20,MAI20090907_20,35.196,1,,9,,9,301.8,1,0.06,1,3.2,1,,9,0.29,1,1,1,,,,,,,,,,,0.009,0.012,0,0,,,0.024,0,0.381,0.079,0.008,0.035,0.036,,0,0,0.013,0,0,0.381,0,0.079,0,0,0.072,0,0.054,0,0,0,0,0.009,0.006,0,0,0,0.024,0,0,0.006,0.013,1,,POINT (148.23333 -42.59667)
combined_bgc_data.fid-2c692dc9_1899559b653_7252,NRS,Maria Island,MAI20090907,2009-09-07,2009-09-07 11:40:00,-42.5967,148.2333,17,30,MAI20090907_30,35.203,1,2099.43,1,2320.13,1,,9,0.04,1,3.2,1,,9,0.3,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (148.23333 -42.59667)
combined_bgc_data.fid-2c692dc9_1899559b653_7253,NRS,Maria Island,MAI20090907,2009-09-07,2009-09-07 11:40:00,-42.5967,148.2333,17,40,MAI20090907_40,35.196,1,,9,,9,,9,0.05,1,3.2,1,,9,0.29,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (148.23333 -42.59667)
combined_bgc_data.fid-2c692dc9_1899559b653_7254,NRS,Maria Island,MAI20090907,2009-09-07,2009-09-07 11:40:00,-42.5967,148.2333,17,50,MAI20090907_50,35.2,1,2094.73,1,2319.58,1,,9,0,1,3.2,1,,9,0.31,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (148.23333 -42.59667)
combined_bgc_data.fid-2c692dc9_1899559b653_7255,NRS,Maria Island,MAI20090907,2009-09-07,2009-09-07 11:40:00,-42.5967,148.2333,17,60,MAI20090907_60,35.215,1,,9,,9,,9,0.1,1,3.1,1,,9,0.27,1,0.9,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (148.23333 -42.59667)
combined_bgc_data.fid-2c692dc9_1899559b653_7256,NRS,Maria Island,MAI20090907,2009-09-07,2009-09-07 11:40:00,-42.5967,148.2333,17,75,MAI20090907_75,35.219,1,2099.53,1,2321.35,1,,9,0.18,1,3,1,,9,0.29,1,0.9,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (148.23333 -42.59667)
